Notes	County	County Code	Year	Year Code	ICD-10 113 Cause List	ICD-10 113 Cause List Code	Deaths	Population	Crude Rate
	Adams County, CO	8001.0	1999.0	1999.0	#Influenza and pneumonia (J09-J18)	GR113-076	53	354146	14.97
	Adams County, CO	8001.0	1999.0	1999.0	Pneumonia (J12-J18)	GR113-078	53	354146	14.97
	Adams County, CO	8001.0	1999.0	1999.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	158	354146	44.61
	Adams County, CO	8001.0	1999.0	1999.0	Emphysema (J43)	GR113-084	31	354146	8.75
	Adams County, CO	8001.0	1999.0	1999.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	117	354146	33.04
	Adams County, CO	8001.0	1999.0	1999.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	16	354146	Unreliable
	Adams County, CO	8001.0	1999.0	1999.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	23	354146	6.49
	Adams County, CO	8001.0	2000.0	2000.0	#Influenza and pneumonia (J09-J18)	GR113-076	30	363857	8.24
	Adams County, CO	8001.0	2000.0	2000.0	Pneumonia (J12-J18)	GR113-078	30	363857	8.24
	Adams County, CO	8001.0	2000.0	2000.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	171	363857	47.00
	Adams County, CO	8001.0	2000.0	2000.0	Emphysema (J43)	GR113-084	17	363857	Unreliable
	Adams County, CO	8001.0	2000.0	2000.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	144	363857	39.58
	Adams County, CO	8001.0	2000.0	2000.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	15	363857	Unreliable
	Adams County, CO	8001.0	2000.0	2000.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	22	363857	6.05
	Adams County, CO	8001.0	2001.0	2001.0	#Influenza and pneumonia (J09-J18)	GR113-076	50	376115	13.29
	Adams County, CO	8001.0	2001.0	2001.0	Pneumonia (J12-J18)	GR113-078	50	376115	13.29
	Adams County, CO	8001.0	2001.0	2001.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	168	376115	44.67
	Adams County, CO	8001.0	2001.0	2001.0	Emphysema (J43)	GR113-084	15	376115	Unreliable
	Adams County, CO	8001.0	2001.0	2001.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	146	376115	38.82
	Adams County, CO	8001.0	2001.0	2001.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	15	376115	Unreliable
	Adams County, CO	8001.0	2001.0	2001.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	30	376115	7.98
	Adams County, CO	8001.0	2002.0	2002.0	#Influenza and pneumonia (J09-J18)	GR113-076	52	387339	13.42
	Adams County, CO	8001.0	2002.0	2002.0	Pneumonia (J12-J18)	GR113-078	52	387339	13.42
	Adams County, CO	8001.0	2002.0	2002.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	162	387339	41.82
	Adams County, CO	8001.0	2002.0	2002.0	Emphysema (J43)	GR113-084	12	387339	Unreliable
	Adams County, CO	8001.0	2002.0	2002.0	Asthma (J45-J46)	GR113-085	10	387339	Unreliable
	Adams County, CO	8001.0	2002.0	2002.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	139	387339	35.89
	Adams County, CO	8001.0	2002.0	2002.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	21	387339	5.42
	Adams County, CO	8001.0	2002.0	2002.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	27	387339	6.97
	Adams County, CO	8001.0	2003.0	2003.0	#Influenza and pneumonia (J09-J18)	GR113-076	52	377464	13.78
	Adams County, CO	8001.0	2003.0	2003.0	Pneumonia (J12-J18)	GR113-078	47	377464	12.45
	Adams County, CO	8001.0	2003.0	2003.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	169	377464	44.77
	Adams County, CO	8001.0	2003.0	2003.0	Emphysema (J43)	GR113-084	16	377464	Unreliable
	Adams County, CO	8001.0	2003.0	2003.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	145	377464	38.41
	Adams County, CO	8001.0	2003.0	2003.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	12	377464	Unreliable
	Adams County, CO	8001.0	2003.0	2003.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	16	377464	Unreliable
	Adams County, CO	8001.0	2004.0	2004.0	#Influenza and pneumonia (J09-J18)	GR113-076	48	384809	12.47
	Adams County, CO	8001.0	2004.0	2004.0	Pneumonia (J12-J18)	GR113-078	48	384809	12.47
	Adams County, CO	8001.0	2004.0	2004.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	153	384809	39.76
	Adams County, CO	8001.0	2004.0	2004.0	Emphysema (J43)	GR113-084	11	384809	Unreliable
	Adams County, CO	8001.0	2004.0	2004.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	138	384809	35.86
	Adams County, CO	8001.0	2004.0	2004.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	16	384809	Unreliable
	Adams County, CO	8001.0	2004.0	2004.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	31	384809	8.06
	Adams County, CO	8001.0	2005.0	2005.0	#Influenza and pneumonia (J09-J18)	GR113-076	47	395146	11.89
	Adams County, CO	8001.0	2005.0	2005.0	Pneumonia (J12-J18)	GR113-078	45	395146	11.39
	Adams County, CO	8001.0	2005.0	2005.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	164	395146	41.50
	Adams County, CO	8001.0	2005.0	2005.0	Emphysema (J43)	GR113-084	15	395146	Unreliable
	Adams County, CO	8001.0	2005.0	2005.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	147	395146	37.20
	Adams County, CO	8001.0	2005.0	2005.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	20	395146	5.06
	Adams County, CO	8001.0	2005.0	2005.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	26	395146	6.58
	Adams County, CO	8001.0	2006.0	2006.0	#Influenza and pneumonia (J09-J18)	GR113-076	46	406575	11.31
	Adams County, CO	8001.0	2006.0	2006.0	Pneumonia (J12-J18)	GR113-078	44	406575	10.82
	Adams County, CO	8001.0	2006.0	2006.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	153	406575	37.63
	Adams County, CO	8001.0	2006.0	2006.0	Emphysema (J43)	GR113-084	13	406575	Unreliable
	Adams County, CO	8001.0	2006.0	2006.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	134	406575	32.96
	Adams County, CO	8001.0	2006.0	2006.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	17	406575	Unreliable
	Adams County, CO	8001.0	2006.0	2006.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	32	406575	7.87
	Adams County, CO	8001.0	2007.0	2007.0	#Influenza and pneumonia (J09-J18)	GR113-076	43	415746	10.34
	Adams County, CO	8001.0	2007.0	2007.0	Pneumonia (J12-J18)	GR113-078	43	415746	10.34
	Adams County, CO	8001.0	2007.0	2007.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	168	415746	40.41
	Adams County, CO	8001.0	2007.0	2007.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	155	415746	37.28
	Adams County, CO	8001.0	2007.0	2007.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	30	415746	7.22
	Adams County, CO	8001.0	2007.0	2007.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	35	415746	8.42
	Adams County, CO	8001.0	2008.0	2008.0	#Influenza and pneumonia (J09-J18)	GR113-076	45	424913	10.59
	Adams County, CO	8001.0	2008.0	2008.0	Pneumonia (J12-J18)	GR113-078	44	424913	10.36
	Adams County, CO	8001.0	2008.0	2008.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	197	424913	46.36
