Date,AQI,Sample_Duration,Pollutant_Type
1975-12-09,51,8-HR RUN AVG END HOUR,42101
1975-12-10,47,8-HR RUN AVG END HOUR,42101
1975-12-11,60,8-HR RUN AVG END HOUR,42101
1975-12-12,56,8-HR RUN AVG END HOUR,42101
1975-12-13,64,8-HR RUN AVG END HOUR,42101
1975-12-14,57,8-HR RUN AVG END HOUR,42101
1975-12-15,58,8-HR RUN AVG END HOUR,42101
1975-12-16,36,8-HR RUN AVG END HOUR,42101
1975-12-17,125,8-HR RUN AVG END HOUR,42101
1975-12-18,140,8-HR RUN AVG END HOUR,42101
1975-12-19,121,8-HR RUN AVG END HOUR,42101
1975-12-20,109,8-HR RUN AVG END HOUR,42101
1975-12-21,138,8-HR RUN AVG END HOUR,42101
1975-12-22,71,8-HR RUN AVG END HOUR,42101
1975-12-23,60,8-HR RUN AVG END HOUR,42101
1975-12-24,55,8-HR RUN AVG END HOUR,42101
1975-12-25,52,8-HR RUN AVG END HOUR,42101
1975-12-26,61,8-HR RUN AVG END HOUR,42101
1975-12-27,58,8-HR RUN AVG END HOUR,42101
1975-12-28,25,8-HR RUN AVG END HOUR,42101
1975-12-29,57,8-HR RUN AVG END HOUR,42101
1975-12-30,66,8-HR RUN AVG END HOUR,42101
1975-12-31,61,8-HR RUN AVG END HOUR,42101
1976-01-01,31,8-HR RUN AVG END HOUR,42101
1976-01-02,43,8-HR RUN AVG END HOUR,42101
1976-01-03,48,8-HR RUN AVG END HOUR,42101
1976-01-04,83,8-HR RUN AVG END HOUR,42101
1976-01-05,80,8-HR RUN AVG END HOUR,42101
1976-01-06,25,8-HR RUN AVG END HOUR,42101
1976-01-07,42,8-HR RUN AVG END HOUR,42101
1976-01-08,67,8-HR RUN AVG END HOUR,42101
1976-01-09,113,8-HR RUN AVG END HOUR,42101
1976-01-10,52,8-HR RUN AVG END HOUR,42101
1976-01-11,65,8-HR RUN AVG END HOUR,42101
1976-01-12,36,8-HR RUN AVG END HOUR,42101
1976-01-13,36,8-HR RUN AVG END HOUR,42101
1976-01-14,72,8-HR RUN AVG END HOUR,42101
1976-01-15,57,8-HR RUN AVG END HOUR,42101
1976-01-16,66,8-HR RUN AVG END HOUR,42101
1976-01-17,43,8-HR RUN AVG END HOUR,42101
1976-01-18,36,8-HR RUN AVG END HOUR,42101
1976-01-19,52,8-HR RUN AVG END HOUR,42101
1976-01-20,168,8-HR RUN AVG END HOUR,42101
1976-01-21,168,8-HR RUN AVG END HOUR,42101
1976-01-22,108,8-HR RUN AVG END HOUR,42101
1976-01-23,70,8-HR RUN AVG END HOUR,42101
1976-01-24,17,8-HR RUN AVG END HOUR,42101
1976-01-25,16,8-HR RUN AVG END HOUR,42101
1976-01-26,53,8-HR RUN AVG END HOUR,42101
1976-01-27,83,8-HR RUN AVG END HOUR,42101
1976-01-28,63,8-HR RUN AVG END HOUR,42101
1976-01-29,59,8-HR RUN AVG END HOUR,42101
1976-01-30,32,8-HR RUN AVG END HOUR,42101
1976-01-31,57,8-HR RUN AVG END HOUR,42101
1976-02-01,53,8-HR RUN AVG END HOUR,42101
1976-02-02,53,8-HR RUN AVG END HOUR,42101
1976-02-03,31,8-HR RUN AVG END HOUR,42101
1976-02-04,27,8-HR RUN AVG END HOUR,42101
1976-02-05,23,8-HR RUN AVG END HOUR,42101
