Date,AQI,Sample_Duration,Pollutant_Type
1985-06-04,20,24 HOUR,81102
1985-06-05,20,24 HOUR,81102
1985-06-06,41,24 HOUR,81102
1985-06-07,51,24 HOUR,81102
1985-06-08,43,24 HOUR,81102
1985-06-11,18,24 HOUR,81102
1985-06-12,28,24 HOUR,81102
1985-06-13,48,24 HOUR,81102
1985-06-15,48,24 HOUR,81102
1985-06-16,32,24 HOUR,81102
1985-06-18,35,24 HOUR,81102
1985-06-20,46,24 HOUR,81102
1985-06-21,36,24 HOUR,81102
1985-06-25,19,24 HOUR,81102
1985-07-02,36,24 HOUR,81102
1985-07-03,49,24 HOUR,81102
1985-07-04,44,24 HOUR,81102
1985-07-06,47,24 HOUR,81102
1985-07-07,44,24 HOUR,81102
1985-07-08,50,24 HOUR,81102
1985-07-09,35,24 HOUR,81102
1985-07-10,42,24 HOUR,81102
1985-07-11,53,24 HOUR,81102
1985-07-12,43,24 HOUR,81102
1985-07-13,26,24 HOUR,81102
1985-07-14,28,24 HOUR,81102
1985-07-16,33,24 HOUR,81102
1985-07-17,39,24 HOUR,81102
1985-07-18,23,24 HOUR,81102
1985-07-19,17,24 HOUR,81102
1985-07-20,23,24 HOUR,81102
1985-07-21,21,24 HOUR,81102
1985-07-23,20,24 HOUR,81102
1985-07-24,29,24 HOUR,81102
1985-07-25,30,24 HOUR,81102
1985-07-26,36,24 HOUR,81102
1985-07-27,30,24 HOUR,81102
1985-07-28,25,24 HOUR,81102
1985-07-30,24,24 HOUR,81102
1985-07-31,28,24 HOUR,81102
1985-08-01,30,24 HOUR,81102
1985-08-02,37,24 HOUR,81102
1985-08-03,37,24 HOUR,81102
1985-08-04,28,24 HOUR,81102
1985-08-08,54,24 HOUR,81102
1985-08-09,36,24 HOUR,81102
1985-08-11,32,24 HOUR,81102
1985-08-15,44,24 HOUR,81102
1985-08-17,36,24 HOUR,81102
1985-08-18,33,24 HOUR,81102
1985-08-20,45,24 HOUR,81102
1985-08-21,43,24 HOUR,81102
1985-08-23,44,24 HOUR,81102
1985-08-24,49,24 HOUR,81102
1985-08-27,56,24 HOUR,81102
1985-08-29,49,24 HOUR,81102
1985-08-30,57,24 HOUR,81102
1985-09-01,26,24 HOUR,81102
1985-09-04,21,24 HOUR,81102
1985-09-05,24,24 HOUR,81102
1985-09-07,34,24 HOUR,81102
1985-09-08,21,24 HOUR,81102
1985-09-10,35,24 HOUR,81102
1985-09-11,33,24 HOUR,81102
1985-09-17,16,24 HOUR,81102
1985-09-19,26,24 HOUR,81102
1985-09-20,19,24 HOUR,81102
1985-09-22,11,24 HOUR,81102
1985-09-25,61,24 HOUR,81102
1985-09-28,10,24 HOUR,81102
1985-10-02,43,24 HOUR,81102
1985-10-03,31,24 HOUR,81102
1985-10-04,28,24 HOUR,81102
1985-10-05,46,24 HOUR,81102
1985-10-06,40,24 HOUR,81102
1985-10-11,23,24 HOUR,81102
1985-10-08,13,24 HOUR,81102
1985-10-09,18,24 HOUR,81102
1985-10-10,47,24 HOUR,81102
1985-10-12,33,24 HOUR,81102
1985-10-13,13,24 HOUR,81102
1985-10-16,56,24 HOUR,81102
1985-10-17,52,24 HOUR,81102
1985-10-18,42,24 HOUR,81102
1985-10-19,47,24 HOUR,81102
1985-10-20,42,24 HOUR,81102
1985-10-22,40,24 HOUR,81102
1985-10-23,14,24 HOUR,81102
1985-10-24,39,24 HOUR,81102
1985-10-25,54,24 HOUR,81102
1985-10-26,42,24 HOUR,81102
1985-10-27,47,24 HOUR,81102
1985-10-29,48,24 HOUR,81102
1985-10-30,63,24 HOUR,81102
1985-10-31,31,24 HOUR,81102
1985-11-01,27,24 HOUR,81102
1985-11-02,29,24 HOUR,81102
1985-11-03,28,24 HOUR,81102
1985-11-06,21,24 HOUR,81102
1985-11-07,31,24 HOUR,81102
1985-11-08,27,24 HOUR,81102
1985-11-09,18,24 HOUR,81102
1985-11-10,12,24 HOUR,81102
1985-11-13,22,24 HOUR,81102
1985-11-14,38,24 HOUR,81102
1985-11-15,62,24 HOUR,81102
1985-11-16,73,24 HOUR,81102
1985-11-17,58,24 HOUR,81102
1985-11-20,49,24 HOUR,81102
1985-11-21,58,24 HOUR,81102
1985-11-22,35,24 HOUR,81102
1985-11-23,60,24 HOUR,81102
1985-11-24,79,24 HOUR,81102
1985-11-26,32,24 HOUR,81102
1985-11-27,58,24 HOUR,81102
1985-11-28,31,24 HOUR,81102
1985-11-30,24,24 HOUR,81102
1985-12-01,22,24 HOUR,81102
1985-12-02,33,24 HOUR,81102
1985-12-03,37,24 HOUR,81102
1985-12-04,73,24 HOUR,81102
1985-12-05,123,24 HOUR,81102
1985-12-07,61,24 HOUR,81102
1985-12-08,33,24 HOUR,81102
1985-12-10,18,24 HOUR,81102
1985-12-11,48,24 HOUR,81102
1985-12-12,71,24 HOUR,81102
1985-12-13,79,24 HOUR,81102
1985-12-14,52,24 HOUR,81102
1985-12-15,55,24 HOUR,81102
1985-12-18,52,24 HOUR,81102
1985-12-19,53,24 HOUR,81102
1985-12-20,53,24 HOUR,81102
1985-12-21,21,24 HOUR,81102
